mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
treechop,HT's TreeChop,0.19.0,TreeChop-1.20.1-forge-0.19.0-fixed.jar,,https://github.com/hammertater/treechop,https://github.com/hammertater/treechop/issues
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
kuma_api,KumaAPI,20.1.10,kuma-api-forge-20.1.10+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
the_silence,The Silence,0.2,the_silence-0.2 patch 2.0 Fixed - CENSORED ver.jar,,https://www.youtube.com/channel/UCPizYKjeUleAq466vBX7b7g,
sophisticatedcore,Sophisticated Core,1.2.53.970,sophisticatedcore-1.20.1-1.2.53.970.jar,,,https://github.com/P3pp3rF1y/SophisticatedCore/issues
insanelib,InsaneLib,1.19.0,insanelib-1.19.0.jar,,https://github.com/Insane96/InsaneLib,
create_jetpack,Create Jetpack,4.3.0,create_jetpack-forge-4.3.0.jar,,,https://github.com/pssbletrngle/createjetpack/issues
prism,Prism,1.0.5,Prism-1.20.1-forge-1.0.5.jar,,https://anthonyhilyard.com/,
citadel,Citadel,2.6.1,citadel-2.6.1-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
alexsmobs,Alex's Mobs,1.22.9,alexsmobs-1.22.9.jar,,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs,https://github.com/Alex-the-666/AlexsMobs/issues
legendary_additions,Legendary Additions,1.20.1-1.0.10,legendary_additions-1.20.1-1.0.10.jar,,,
yungsapi,YUNG's API,1.20-Forge-4.0.6,YungsApi-1.20-Forge-4.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
mixinextras,MixinExtras,0.4.1,mixinextras-forge-0.4.1.jar,,https://github.com/LlamaLad7/MixinExtras,
sophisticatedbackpacks,Sophisticated Backpacks,3.23.14.1233,sophisticatedbackpacks-1.20.1-3.23.14.1233.jar,,,https://github.com/P3pp3rF1y/SophisticatedBackpacks/issues
guardvillagers,Guard Villagers,1.20.1-1.6.10,guardvillagers-1.20.1-1.6.10.jar,,https://www.curseforge.com/minecraft/mc-mods/guard-villagers,https://github.com/seymourimadeit/guardvillagers/issues
psychadelic,Psychadelic,1.0.0,Psychadelic-Chemistry_1.20.1-1.4.5.jar,,https://mcreator.net,
simpleplanes,Simple Planes,1.20.1-5.3.3,simpleplanes-1.20.1-5.3.3.jar,,,
balm,Balm,7.3.28,balm-forge-1.20.1-7.3.28-all.jar,,https://mods.twelveiterations.com/,https://github.com/TwelveIterationMods/Balm/issues
interiors,Create: Interiors,0.5.6,interiors-0.5.6+forge-mc1.20.1-build.104.jar,,https://www.curseforge.com/minecraft/mc-mods/interiors,https://github.com/aesefficio/CreateInteriorsMod/issues
betterfortresses,YUNG's Better Nether Fortresses,1.20-Forge-2.0.6,YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
